"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Rayan Rupert","Por","G-F","19.5","7","4.4","21.5","14.1","4","0.5","6","0","6","0.167","0.125","0.182","0.7","0.1","0.3","0.3","0","0.3","0.9","1","1.1","2.5","48.3","118.1"
"","Robin Lopez","Mil","C","35.7","4","3","10.4","41","2","1","0","0","1","0","0","0.532","0.5","0","0.3","0","0","0.3","0.5","0.8","0.8","0","0","0"
"","Bol Bol","Pho","C-F","24.1","4","1.9","17.1","66.7","0","0","1","1","0","0","1","1","0.5","0.3","0","0","0.3","0.5","0.8","0.5","0.8","0","0","0"
"","Braxton Key","Den","F","26.8","6","2.5","17","0","2","0.5","3","0.333","2","0","0.2","0.255","0.5","0.5","0.8","0","0","0","1","1.3","1.8","9.4","0","0"
"","Kobe Bufkin","Atl","G","20.2","2","0","0","0","2","0.5","2","0","1","0","0","0.129","0.5","1","0","0","0","0","1.5","0.5","1.5","0","0","0"
"","Terry Taylor","Chi","F","24.2","5","2.4","3.7","0","0","0","1","1","0","0","1","1","0.4","0.2","0","0.2","0","0","0.6","0.4","0.6","0","0","0"
"","Maxwell Lewis","Lal","F","21.4","11","4.8","11.5","35.7","0","0","6","0","3","0.333","0.167","0.167","0.3","0.3","0.3","0.2","0","0.5","0.5","0.5","0.8","2.5","39.2","112"
"","Hunter Tyson","Den","F","23.5","7","2.6","9.4","0","0","0","1","1","3","0","0.25","0.25","0.3","0.6","0.1","0","0","0","0.9","0.4","1","4","0","0"
"","Danny Green","Phi","G","36.5","2","0","0","0","0","0","1","0","1","0","0","0","0","1","0.5","0.5","0","0","1","0.5","1.5","0","0","0"
"","Ryan Arcidiacono","Nyk","G","29.7","6","2.2","3.2","0","0","0","0","0","1","0","0","0","0","0.5","0.2","0.2","0","0","0.5","0.2","0.7","0","0","0"
"","Jerome Robinson","Gol","G","26.8","1","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","2","0","2","0","0","0"
"","Kaiser Gates","Nor","F","27.1","1","0","0","0","0","0","2","0","2","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Lindell Wigginton","Mil","G","25.7","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Marques Bolden","Mil","C","25.7","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","2","0","0","0"
"","R.J. Hampton","Mia","G","22.8","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Filip Petrusev","Phi","C","23.7","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Malcolm Cazalon","Det","G","22.3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Ish Wainright","Por","F","29.2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0"
"","Wendell Moore Jr.","Min","G","22.2","3","2.3","12.4","0","0","0","0","0","2","0","0","0","0","0.3","0.3","0","0","0","0.3","0.3","0.7","0","0","0"
"","Ron Harper Jr.","Tor","F","23.7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0"
"","Mouhamed Gueye","Atl","F","21.1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0"
"","Sidy Cissoko","San","G","19.7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","GG Jackson","Mem","F","19","3","2.2","32.8","20","0","0","2","0","2","0","0","0","0","1","0","0.3","0","0.3","1","0","1","0","0","0"
"","Brice Sensabaugh","Uta","F","20.1","1","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","2","0","2","0","0","0"
"","Noah Clowney","Bro","F","19.4","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Keyontae Johnson","Okc","F","23.6","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Onuralp Bitim","Chi","F","24.7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Jacob Toppin","Nyk","F","23.6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"","Charlie Brown Jr.","Nyk","G","25.9","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Kendall Brown","Ind","G","20.6","0","#DIV/0!","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Isaiah Wong","Ind","G","22.9","0","#DIV/0!","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Oscar Tshiebwe","Ind","F-C","24","0","#DIV/0!","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
